index,reward,V_reward,attitude_penalty,wm_penalty,beta_penalty,action_sum_penalty,action_penalty,steps
166,-1840.7425755603722,-1195.47160318751,-32.99428863437389,-843.6931496158147,-416.5420682004167,-59.66384630577042,-505.23516788799446,2000
167,-1538.851754676949,-869.2612372925983,-128.6494637491498,-782.3995271954441,-82.81525978734956,-214.43849732031597,-379.88885257895765,2000
168,-414.0423927711518,-537.4659732195724,-29.582995031443687,-810.0570013250334,-85.3739293747959,-170.53162603784114,-377.3920497245526,2000
169,-392.88331501614715,-584.7755020562932,-29.254109131952525,-824.437503034824,-80.11833155129608,-259.0985166141427,-408.04179647052786,2000
170,-2210.286130686423,-1402.0306329563266,-49.807285751401686,-892.9989008646902,-490.3927390957781,-137.3740606875837,-530.029226505684,2000
171,-4448.659525583109,-1532.2295088593703,-315.86927756154284,-1322.9967109698712,-577.9028511113866,-287.6994578457424,-448.10718425875297,2000
172,-1057.2900763175035,-859.3506965503663,-32.94129115555393,-851.0447222660284,-552.987564066314,-127.38625367361003,-511.7772371581815,2000
173,-792.5087851358522,-592.1954327257523,-32.41834943821261,-785.7773000603793,-277.08443926894324,-140.32338517509507,-413.4161276665883,2000
174,-2135.240158312877,-1052.1707309499977,-203.27243597873706,-813.4702859582437,-66.69258758824854,-135.29764570549824,-510.48113181649217,2000
175,-4372.021824673491,-1757.5946412953485,-337.585643903403,-1043.525730203046,-272.523596339705,-226.5201516487573,-603.0706283584085,2000
176,-1071.7032477713183,-611.0716783498685,-46.9215106046898,-822.4043063175603,-296.91076058863126,-213.14600120119164,-435.81082704787576,2000
177,-1652.1394578240343,-722.1948320168409,-121.27921317873894,-777.6866949271315,-145.85717615265344,-342.8065559688212,-377.20216285648706,2000
178,-211.05655903435496,-553.6313629315118,-32.21276775454946,-699.1859416286773,-70.62333273564316,-254.74118644195676,-398.90683461417,2000
179,-511.555940432228,-533.8577326214063,-74.48601948775696,-704.0230155389593,-43.97502619840684,-166.35919760380438,-386.07382250885865,2000
180,-1127.2345584043487,-755.9825389891938,-40.83246992874976,-856.7322025356183,-400.996006395496,-287.27523746793867,-490.4134676188187,2000
