index,reward,los_reward,wm_penalty,wm_dot_penalty,safety_penalty,steps
255,-3164.9326024661973,-3376.887535320249,-2.980923118093773,-8.896664495560582,-112.27545765810778,1415
256,-3039.5706925225672,-3240.7100543785436,-1.872760941618677,-5.6609775229201516,-107.52339755807085,1354
257,-3760.388042177301,-3988.4298841237055,-3.7517897450931508,-13.229030129232621,-127.61569908785745,1701
258,-3773.9743089043423,-4005.486899659725,-5.522462540997732,-20.057196561795738,-119.74786645216463,1716
259,-2990.90175998919,-3172.21318213753,-1.7529317735193375,-5.376218429208219,-94.71106343621967,1372
260,-3794.7146958625112,-4021.7114556055776,-2.9119929312392694,-9.96134976115906,-120.71822782275656,1737
261,-3252.591083239656,-3457.586249148657,-2.972763511137449,-8.577827534105435,-108.58673076552363,1455
262,-3835.954543547834,-4067.0261122438114,-4.581014208091856,-18.21307509468557,-121.34925682901324,1765
263,-3590.449114625519,-3813.350528326849,-3.1851238724021376,-9.052169516785192,-115.4423599295212,1633
264,-3096.0,-3310.85878470277,-2.2231462072597705,-6.061633116755116,-108.24627664058575,1376
265,-3609.7717260887657,-3824.003608681174,-3.281729933237908,-12.708300270956633,-117.68137329333184,1641
266,-3325.7383266683883,-3545.3335455262627,-2.950590969559326,-7.735250099789021,-117.13560653606815,1481
267,-3469.5162924419756,-3682.7721221577663,-3.512772389507685,-11.148265554280398,-110.99031386267337,1591
