index,reward,los_reward,body_rate_penalty,body_accel_penalty,steps
268,898.3469790111585,1061.8237384439842,-28.56693700226707,-62.470145366272384,496
269,1537.5340745620592,1797.7448587011968,-44.60697293320436,-92.60696637458248,681
270,512.3607574809041,612.054892393659,-16.61863197721141,-39.810676756676855,343
271,1116.3445482355762,1316.9932367820766,-28.63833560191564,-73.96448547799996,567
272,144.86939011442942,178.66607963760183,-5.930463771681083,-16.483751435413172,168
273,451.59482373993,551.0270000606125,-12.564886554706488,-35.20424092771306,304
274,982.6106982553595,1153.7709520174212,-28.133909109217708,-66.49725576444467,519
275,1387.1635531342563,1626.6052967204914,-41.905781010128834,-83.45147827036767,611
276,254.95283118479244,307.2008648187981,-9.149004346699025,-23.96513104298517,219
277,1218.264265785843,1440.917025020598,-29.90443802349831,-76.0272631921283,580
278,66.56025657332017,82.55581737142488,-3.2199231973251856,-9.694254606011437,108
279,1020.3728472104867,1199.988464403552,-26.761571251396916,-67.7121842159554,519
280,774.6350152596635,915.772944787674,-21.806572335635355,-55.0372928600019,444
281,666.4763902190147,788.3871756801309,-19.621859648187264,-48.77218590719393,401
282,255.32155526210005,310.1231600852623,-7.31648605830191,-21.591828239684,199
283,343.87302010671294,413.4948663112131,-10.861862723684677,-28.816262380159667,269
284,1253.8245338428735,1477.1108687482363,-38.32695224927724,-79.45020533608917,593
285,1919.4769905145527,2245.4520621583442,-49.7988041345758,-113.16874376687304,812
286,332.8888494545335,407.6347147699433,-10.504464752563601,-28.109773121280224,253
287,696.3900298260631,840.7031548049381,-21.081470193539236,-48.17257805926918,395
288,1868.7247988778481,2193.377681006234,-50.59017156532099,-109.0340997471754,780
289,208.12666135175556,252.76059107915705,-6.308930240395616,-16.081784486603016,153
290,1803.0171051198317,2097.1371729295247,-47.73372510571359,-105.7080063872229,760
291,512.2423759783869,612.7857643149931,-16.64361934838636,-39.92106839568967,343
292,1607.1625399297136,1881.7113757633647,-40.97181868889303,-93.54142733397182,684
293,1568.1569718038825,1848.6039523348363,-41.978672541177325,-94.98969858331692,696
294,874.7694365165919,1022.2162749341758,-29.235012500020133,-59.20565487004019,472
295,550.2159000304528,656.3648595482417,-18.82436040156868,-42.73693951455886,362
296,1833.776370210001,2151.7091745405473,-46.982235799568045,-107.06696447595517,773
297,423.1463350679634,510.69559765228536,-14.89816338682288,-34.98417821769114,304
298,1807.9498360791906,2116.079306201075,-50.888599771869664,-106.7704843826649,778
299,836.2705703510413,1000.8176408786514,-19.671776518849498,-56.078549441082934,455
300,127.30406779185914,154.4676804406756,-4.232111841398773,-9.810433852869924,99
301,62.94306029578888,74.57916309049594,-2.968404047328706,-8.891430987619406,98
302,683.6787370347471,810.2876045844217,-19.794044501483857,-49.456389878524035,407
303,1040.0664929759175,1238.5223858805457,-28.134657474554693,-66.64078999699828,515
304,1829.03915584849,2145.9573563175545,-49.519727493564346,-107.09729198652063,771
305,1395.598745056349,1637.3749170059684,-37.32483785377946,-87.8528447324863,653
306,579.8461228699997,703.4815952946169,-21.42329226293657,-42.925954614828626,359
307,862.6613623783117,1018.4055323943039,-22.32139701183546,-58.529209834680366,463
308,998.9421973441673,1186.553931359656,-28.217205367147017,-65.68034954182053,510
309,1570.8511622426438,1841.4780725330868,-37.38729671700386,-92.58257279566419,676
310,1299.787401738105,1525.794120143666,-37.54169856809495,-83.05941602935975,621
311,1501.481132514179,1766.299110057418,-40.99554190702171,-90.78979294789193,667
312,1331.8865924492782,1564.0525156588913,-32.77469546924775,-83.92543488233783,628
313,937.8894622294613,1115.012145346351,-30.814981315699775,-64.77073966200592,512
314,1446.986775511706,1694.8937485311048,-38.390489839951016,-88.24419125721413,647
315,717.5410814372996,858.4311120838464,-21.57971925653104,-52.443127364660036,429
316,1823.5013109455456,2135.4605057451254,-45.75098182952948,-104.71696416964491,755
317,1827.9138422286396,2144.542275265368,-47.330949550386215,-104.62459911706911,750
318,1130.1536478848734,1329.8905125194783,-30.13593161120843,-73.43849538341087,559
319,1235.6003602004878,1460.459098718778,-36.221781480194515,-78.32203647660077,584
320,822.157625812481,972.4121135018709,-25.06495336974691,-58.47761289299305,472
321,198.69585210452644,247.97542428772311,-6.772145405552776,-20.285246457488768,196
322,476.04342178244065,569.9336036229486,-13.61804350031396,-35.42639736052857,309
323,1898.8016458553504,2225.6349251869715,-49.091945425066406,-109.57855908197556,784
324,502.53651105851964,614.0022980548786,-16.73493202434003,-37.90680302424893,317
325,522.4885385438774,628.9283914337345,-20.858991799561576,-40.55917115206487,349
326,1426.9785338451488,1684.7882877538452,-42.44545075936596,-88.95532260132897,662
327,555.148598686388,676.0536205805347,-19.596777803216288,-41.22478002068687,346
328,689.7925908879242,826.8090775851998,-19.460488846026763,-49.08366687110272,404
329,360.7962413834615,438.55533411794244,-10.577924935663537,-28.51951208707378,247
330,962.118071184473,1144.1103240754392,-30.50290031457584,-64.53430112850799,516
331,1291.3988910223165,1528.3355423741634,-34.65947126683762,-81.89384097714802,616
332,1112.892689562919,1308.0016951977095,-35.307097518928174,-73.56690973777948,561
333,1573.5889719353495,1845.6012385891227,-42.32869675973256,-93.5397463739793,681
334,295.1545879820499,356.14868792426233,-12.692841539062455,-28.307356470427237,254
335,655.6432933758094,788.711629335081,-18.76910908278231,-45.83057035010108,380
336,1110.5271896695594,1310.4308014307237,-30.520231014523954,-68.84442559996981,520
