index,reward,los_yaw_reward,los_pitch_reward,range_reward,range_response_reward,body_rate_reward,action_smooth_reward,terminal_event_reward,steps
111,-7662.69632001347,3000.0,-2952.1857325260944,2980.861538461534,-2487.238887283325,-1634.6521741412785,937.3922539624997,-8436,3000
112,-9618.653108561683,3000.0,-2951.868364492178,2988.3076923076896,-2606.73284906185,-2286.8578287506534,978.229829326782,-10362,3000
113,-9863.763337263677,3000.0,-2952.120167486274,2964.7384615384535,-2414.523585218632,-2116.3069482543474,1086.1249754676023,-10620,3000
114,-8917.318042524897,3000.0,-2952.044783821682,2985.8153846153814,-2656.3990137178903,-2383.3048777473155,1029.5750317554173,-9654,3000
115,-7825.695161002137,3000.0,-2952.3197175451555,2981.999999999996,-2456.529970404591,-1768.6209883867477,747.1892753828041,-8592,3000
116,-6561.197816956857,3000.0,-2952.121624794741,2950.626001471435,-2528.7727275126863,-2249.2649400472915,848.8872310561765,-7296,3000
117,-8262.800291509353,3000.0,-2952.0900374316875,2987.9076923076896,-2516.228462074657,-1793.8222781977647,923.2328129146703,-9030,3000
118,-8102.4195734250015,3000.0,-2952.092775291529,2957.275861328076,-2466.0195146535593,-1169.5894467084759,833.3293510764047,-8886,3000
119,-7919.860347307876,3000.0,-2952.4491040152448,1572.0373631696762,-1720.6292765721485,-1298.656761187363,1052.771920608117,-8304,3000
120,-6622.565144852043,3000.0,-2952.234337106846,2851.719028715949,-2514.0023434107084,-2273.3226340731126,868.639957540425,-7326,3000
121,-8302.098441821125,3000.0,-2952.2145141298242,2968.130742769137,-2353.872747070725,-1436.6349458625655,775.3065187090552,-9084,3000
122,-9529.926283798814,3000.0,-2952.3405472994823,1424.7378305514785,-1739.2614119069835,-1271.0591912102411,905.2317965531764,-9864,3000
123,-7831.239353458605,3000.0,-2952.2113271950925,2879.240915119922,-2533.866742799358,-2264.586584908913,936.332249510572,-8544,3000
124,-6402.722116562184,3000.0,-2952.306318045763,2771.5728285276996,-2392.3540449562056,-1861.3497863967439,855.3917128831429,-7104,3000
125,-7878.9560746017,3000.0,-2952.2193340975946,2976.461538461533,-2303.296217448473,-1376.1583418290934,826.5264513983124,-8670,3000
126,-9039.29206675838,3000.0,-2952.0713839295536,2969.72307692307,-2778.1292142218595,-2544.94425864801,977.2458510803575,-9756,3000
127,-8891.807973851448,3000.0,-2952.077019654946,2980.6461538461494,-2540.6800030644717,-2069.6738982919164,813.8830234886464,-9642,3000
128,-12598.432745806915,3000.0,-2951.260256734938,2954.430769230759,-2728.5798910532744,-2489.657047233193,892.6885905763615,-13314,3000
129,-12897.12953826206,3000.0,-2951.012340004466,2979.692307692303,-2748.6808593062183,-2491.6794698391855,914.0449589554967,-13620,3000
130,-12638.278190612546,3000.0,-2951.0477478452867,2976.1230769230715,-2722.5200912438327,-2493.809945823506,940.0654239105164,-13362,3000
131,-12946.707523232066,3000.0,-2950.8573923865324,2981.8153846153805,-2814.9547941338783,-2467.794306386085,949.7489790536026,-13668,3000
132,-12765.944994841464,3000.0,-2951.089926332858,2978.4307692307643,-2742.9461216271193,-2501.055113335758,896.2453487442871,-13488,3000
133,-14384.742180016448,3000.0,-2950.941431362915,2997.015384615384,-2819.6312649026695,-2501.8632259011856,888.3280001011649,-15108,3000
134,-13041.356004190813,3000.0,-2951.114054450249,2985.9692307692276,-2781.41801228326,-2500.6198628939464,920.0107449431364,-13764,3000
135,-13947.16055123736,3000.0,-2951.117152786796,2993.8769230769217,-2828.7737709253015,-2496.6434168790024,937.424281759856,-14670,3000
136,-13521.677780385717,3000.0,-2951.129518171825,2990.5230769230748,-2818.8675467473367,-2498.960466025714,940.3376326369953,-14244,3000
137,-13640.27572628618,3000.0,-2951.0837750192436,2990.923076923075,-2801.295806982906,-2499.44865998489,951.5696311118436,-14364,3000
138,-13089.113005019251,3000.0,-2951.0357876970625,2985.507692307689,-2773.301791133852,-2492.664168365907,898.0328862559538,-13812,3000
139,-12950.516712698522,3000.0,-2951.0197773666873,2984.4307692307657,-2763.6979890162006,-2485.35647393778,901.3955029716172,-13674,3000
140,-12862.186484132477,3000.0,-2951.2028509277757,2980.430769230765,-2763.396594867811,-2494.1093497754973,901.4375770519298,-13584,3000
141,-12700.028313589833,3000.0,-2951.0555731320733,2980.092307692303,-2761.9499400884033,-2496.0626262009555,911.9717512589747,-13422,3000
142,-12621.946800159407,3000.0,-2951.026271784929,2981.9384615384574,-2765.9905087381962,-2503.427655752113,912.8919112334286,-13344,3000
143,-13401.6523239512,3000.0,-2951.00220579078,2993.3230769230754,-2822.646098313094,-2505.26704479208,918.7222724384703,-14124,3000
144,-14403.627024113168,3000.0,-2950.8025007159417,2999.2,-2823.858433862487,-2503.6754865082394,823.2150997200745,-15126,3000
145,-15068.844457755242,3000.0,-2950.9770443803795,2998.0923076923073,-2828.6168579781556,-2491.5927487405515,872.9689930751697,-15792,3000
146,-13785.622710795524,3000.0,-2951.2066475045845,2990.9846153846133,-2821.8664413793385,-2494.4861627903106,936.9886311687467,-14508,3000
147,-15206.424542920548,3000.0,-2951.149516457478,2998.861538461538,-2814.6851207957666,-2509.5427788454754,878.521433788228,-15930,3000
148,-12456.229211430018,3000.0,-2951.5906225527438,2955.19999999999,-2705.2685043684464,-2504.8270443649394,756.2487689898621,-13170,3000
149,-13252.625928418258,3000.0,-2951.010889895108,2985.87692307692,-2812.3943817892027,-2491.5009201152566,931.0320514148503,-13974,3000
150,-12437.00123658771,3000.0,-2950.846168941019,2972.030769230763,-2744.251737262426,-2495.4391377066645,934.6180072976601,-13158,3000
151,-12405.002244950747,3000.0,-2950.799153963366,2971.538461538455,-2722.867067488086,-2483.7339828800045,954.1279023718399,-13128,3000
152,-12560.653399140783,3000.0,-2950.900466898484,2978.799999999995,-2748.4158310370317,-2481.86967758269,929.9243685278188,-13284,3000
153,-13544.53819371724,3000.0,-2951.198404856479,2991.569230769229,-2818.0595821843203,-2496.232892943641,973.8016551016074,-14268,3000
154,-14144.228580469557,3000.0,-2951.1896803204418,2994.7692307692296,-2812.545324512876,-2496.036213175423,921.0065808088368,-14868,3000
155,-13059.099568565069,3000.0,-2951.1619621605328,2986.923076923074,-2775.6793526314787,-2500.372013501764,900.6258226374073,-13782,3000
156,-12603.2184312733,3000.0,-2950.9029552582942,2977.599999999995,-2746.2806990551016,-2488.24131723204,927.2505696307232,-13326,3000
157,-12434.643842238143,3000.0,-2950.894797048647,2975.7538461538406,-2741.2935889087976,-2473.191151470821,940.3261095227338,-13158,3000
158,-12560.323766369731,3000.0,-2951.2146484917644,2980.1230769230724,-2742.5200880996467,-2492.9288341764754,934.6946201709499,-13284,3000
159,-15942.285216298551,3000.0,-2950.8032737673507,2998.7384615384613,-2828.7186326502915,-2494.9684099296987,694.868910589561,-16662,3000
160,-9424.93818545181,3000.0,-2952.447505057784,2963.1692307692224,-2779.1481371605987,-2594.3086926612414,507.6051364261607,-10128,3000
161,-11399.196522560851,3000.0,-2951.9751416736253,2959.8461538461447,-2878.4883102312488,-2641.8518962148055,633.4063977769644,-12096,3000
162,-7938.645539694855,3000.0,-2951.9941415098533,2974.9538461538405,-2725.994521089369,-1707.3389022819624,393.0291839476606,-8682,3000
163,-11185.953424628195,3000.0,-2952.2752064422216,2948.3076923076806,-2751.3710823105994,-2649.1062933639273,618.1352424864358,-11886,3000
164,-9983.812490694185,3000.0,-2952.447998358819,2934.3076923076774,-2826.1571994263822,-2664.969652803723,608.0315636387448,-10674,3000
165,-7693.101958503912,3000.0,-2952.190124384808,2977.5692307692257,-2337.495080909063,-1553.5644293551538,358.4503586516747,-8466,3000
166,-11620.300776534457,3000.0,-2951.3877064244034,2963.4461538461455,-2898.3259821262823,-2652.1649302194537,691.3339440830225,-12318,3000
167,-10584.01246995575,3000.0,-2952.0599236556454,2961.4769230769143,-2796.1049246690122,-2582.4922714107493,502.00426737058615,-11286,3000
168,-7717.460294353956,3000.0,-2952.485841826474,2979.1076923076876,-2444.5781021949606,-2594.623729898952,324.01745630172786,-8442,3000
169,-10026.862907816838,3000.0,-2952.380068827527,2958.83076923076,-2588.44056271713,-2647.2196328857804,313.4043362690401,-10734,3000
170,-9498.233063281672,3000.0,-2952.472040128964,2940.061538461525,-2612.410002512262,-2661.4296827570734,447.00447502155674,-10200,3000
171,-9709.275934025056,3000.0,-2952.5109130170813,2938.923076923063,-2688.793777818056,-2647.462552458944,614.9153105546727,-10410,3000
172,-9861.087139728596,3000.0,-2952.4868545710506,2932.430769230754,-2865.925455352728,-2679.4306047930318,623.177987401482,-10548,3000
173,-9047.641843471565,3000.0,-2952.5169686742465,2982.399999999996,-2501.187389348979,-1470.8798470373922,385.1011515116928,-9816,3000
174,-10420.183702547074,3000.0,-2952.294718373985,2975.8461538461484,-2539.069302566169,-2563.7067981860137,458.6134669050975,-11142,3000
175,-10834.796292146484,3000.0,-2952.279186223218,2969.969230769224,-2678.764692210498,-2535.109962244016,583.6583395794704,-11550,3000
176,-10518.878441742836,3000.0,-2952.3506307660787,2970.3076923076856,-2605.111450424772,-2481.1207033369797,446.3406461489203,-11238,3000
177,-9325.600673920226,3000.0,-2952.3600981790764,2989.3230769230745,-2372.3471339782923,-1732.4366569876681,310.47345604663263,-10092,3000
178,-9530.75031400385,3000.0,-2952.066230402305,2978.8307692307644,-2233.18150243052,-2383.0391428741295,399.8743039395556,-10278,3000
179,-10388.19311333966,3000.0,-2952.2374249786953,2948.3076923076806,-1974.3279115938042,-2650.1951673875496,376.5936221637437,-11130,3000
180,-9782.261894054382,3000.0,-2952.3175798299385,2987.9076923076896,-2179.998268076907,-1803.4230622443415,164.30424392455268,-10554,3000
181,-10632.04874747692,3000.0,-2952.3553313765783,2951.1692307692197,-2624.151928852051,-2631.0478776211353,551.0916340860063,-11340,3000
182,-9669.37266665314,3000.0,-2952.475947911199,2957.8461538461443,-2646.4811552055758,-2626.124339334862,337.1352576392015,-10374,3000
183,-10428.315158237885,3000.0,-2952.3542757547466,2958.83076923076,-2572.4515629162224,-2617.324756798071,532.6221998207795,-11142,3000
184,-9583.141180449593,3000.0,-2952.518461949901,2931.292307692292,-2846.1227394821494,-2650.6598132297754,622.2474620263536,-10272,3000
185,-9757.431813267056,3000.0,-2952.14522199325,2331.9772254464606,-1882.3853556668355,-2294.7737845065303,287.8009659772075,-10320,3000
186,-9086.211962683257,3000.0,-2952.3953401496638,2985.8461538461506,-2366.310616459275,-1478.1581970070263,109.43719593705234,-9858,3000
187,-10520.25387441582,3000.0,-2952.1539755198364,2952.738461538451,-2662.9082014977366,-2643.028144165424,552.7353611713024,-11226,3000
188,-9961.17558652822,3000.0,-2952.458890208114,2932.707692307677,-2840.5516567042623,-2672.190970334811,623.2771312920636,-10650,3000
189,-9605.486594465705,3000.0,-2952.4262605364943,2959.753846153837,-2698.401622959721,-2633.94658819703,371.52664272498635,-10308,3000
190,-9176.46445352853,3000.0,-2951.887089619244,2983.4769230769193,-2866.6310786888985,-2502.8167784287893,676.8668895037347,-9888,3000
191,-10048.296297634834,3000.0,-2952.4090969021377,2935.569230769216,-2793.149865683348,-2673.841936058024,581.7566617339382,-10740,3000
192,-10008.36042896305,3000.0,-2952.1048498033474,2986.9846153846124,-2363.0313897595433,-2038.3266992081954,389.6499325980536,-10764,3000
193,-9276.35602693208,3000.0,-2952.4368771752897,2695.419094962264,-2180.3637027416707,-1503.8918712372829,443.35825125509086,-9972,3000
194,-8682.350637915997,3000.0,-2951.912741386945,2518.5266299527816,-2334.2014854524036,-2617.6768921233406,554.6041581633964,-9270,3000
195,-11740.644043637438,3000.0,-2952.363486693001,2808.8235585941975,-2312.507838301864,-1916.9474147496323,535.8553612417466,-12450,3000
196,-11155.690657291008,3000.0,-2952.168867467952,2991.7538461538443,-2405.659529662554,-2313.161270357205,325.40846828379904,-11898,3000
197,-12186.533134453966,3000.0,-2952.4827567223047,1658.6691445885094,-1338.8895653523161,-2170.130332560436,531.2904079995561,-12576,3000
198,-10883.763144194592,3000.0,-2952.4798871895455,2738.81057652714,-2039.562142037662,-1919.707186468829,488.652435237383,-11586,3000
